stage,model,sweep_label,mean,std,n,n_valid
branch,glue,,0.2733601666666667,0.0043908376921595335,12,12
branch,kot,,0.019820416666666667,0.0005908171542213569,12,12
branch,kot_anchor,,0.019820416666666667,0.0005908171542213569,12,12
branch,kot_nodyn,,0.3780635833333333,0.0025730656637019964,12,12
branch,linear_ode,,0.436789,,1,1
branch,moscot,,0.27831,,1,1
branch,moscot_sweep,epsilon_0p01_maxiter_100,0.246994,,1,1
branch,moscot_sweep,epsilon_0p01_maxiter_1000,0.246994,,1,1
branch,moscot_sweep,epsilon_0p01_maxiter_200,0.246994,,1,1
branch,moscot_sweep,epsilon_0p01_maxiter_500,0.246994,,1,1
branch,moscot_sweep,epsilon_0p05_maxiter_100,0.27292,,1,1
branch,moscot_sweep,epsilon_0p05_maxiter_1000,0.27292,,1,1
branch,moscot_sweep,epsilon_0p05_maxiter_200,0.27292,,1,1
branch,moscot_sweep,epsilon_0p05_maxiter_500,0.27292,,1,1
branch,moscot_sweep,epsilon_0p1_maxiter_100,0.27831,,1,1
branch,moscot_sweep,epsilon_0p1_maxiter_1000,0.27831,,1,1
branch,moscot_sweep,epsilon_0p1_maxiter_200,0.27831,,1,1
branch,moscot_sweep,epsilon_0p1_maxiter_500,0.27831,,1,1
branch,moscot_sweep,epsilon_0p5_maxiter_100,0.341559,,1,1
branch,moscot_sweep,epsilon_0p5_maxiter_1000,0.341559,,1,1
branch,moscot_sweep,epsilon_0p5_maxiter_200,0.341559,,1,1
branch,moscot_sweep,epsilon_0p5_maxiter_500,0.341559,,1,1
branch,scot,,0.445142,,1,1
branch,totalvi,,0.0,0.0,12,12
branch,uniport,,,,0,0
