model,sweep_label,clean_foscttm_mean,clean_foscttm_std,clean_foscttm_n,oracle_foscttm_mean,oracle_foscttm_std,oracle_foscttm_n,branch_foscttm_mean,branch_foscttm_std,branch_foscttm_n
glue,,,,0,,,0,0.2733601666666667,0.0043908376921595335,12
kot,,,,0,,,0,0.019820416666666667,0.0005908171542213569,12
kot_anchor,,,,0,,,0,0.019820416666666667,0.0005908171542213569,12
kot_nodyn,,,,0,,,0,0.3780635833333333,0.0025730656637019964,12
linear_ode,,,,0,,,0,0.436789,,1
moscot,,,,0,,,0,0.27831,,1
moscot_sweep,epsilon_0p01_maxiter_100,,,0,,,0,0.246994,,1
moscot_sweep,epsilon_0p01_maxiter_1000,,,0,,,0,0.246994,,1
moscot_sweep,epsilon_0p01_maxiter_200,,,0,,,0,0.246994,,1
moscot_sweep,epsilon_0p01_maxiter_500,,,0,,,0,0.246994,,1
moscot_sweep,epsilon_0p05_maxiter_100,,,0,,,0,0.27292,,1
moscot_sweep,epsilon_0p05_maxiter_1000,,,0,,,0,0.27292,,1
moscot_sweep,epsilon_0p05_maxiter_200,,,0,,,0,0.27292,,1
moscot_sweep,epsilon_0p05_maxiter_500,,,0,,,0,0.27292,,1
moscot_sweep,epsilon_0p1_maxiter_100,,,0,,,0,0.27831,,1
moscot_sweep,epsilon_0p1_maxiter_1000,,,0,,,0,0.27831,,1
moscot_sweep,epsilon_0p1_maxiter_200,,,0,,,0,0.27831,,1
moscot_sweep,epsilon_0p1_maxiter_500,,,0,,,0,0.27831,,1
moscot_sweep,epsilon_0p5_maxiter_100,,,0,,,0,0.341559,,1
moscot_sweep,epsilon_0p5_maxiter_1000,,,0,,,0,0.341559,,1
moscot_sweep,epsilon_0p5_maxiter_200,,,0,,,0,0.341559,,1
moscot_sweep,epsilon_0p5_maxiter_500,,,0,,,0,0.341559,,1
scot,,,,0,,,0,0.445142,,1
totalvi,,,,0,,,0,0.0,0.0,12
uniport,,,,0,,,0,,,0
