stage,model,sweep_label,mean,std,n,n_valid
branch,glue,,,,0,0
branch,kot,,0.9334179610013962,0.005054472342972358,12,12
branch,kot_anchor,,0.9334179610013962,0.005054472342972358,12,12
branch,kot_nodyn,,-0.7830310463905334,0.01337423618574872,12,12
branch,linear_ode,,,,0,0
branch,moscot,,,,0,0
branch,moscot_sweep,epsilon_0p01_maxiter_100,,,0,0
branch,moscot_sweep,epsilon_0p01_maxiter_1000,,,0,0
branch,moscot_sweep,epsilon_0p01_maxiter_200,,,0,0
branch,moscot_sweep,epsilon_0p01_maxiter_500,,,0,0
branch,moscot_sweep,epsilon_0p05_maxiter_100,,,0,0
branch,moscot_sweep,epsilon_0p05_maxiter_1000,,,0,0
branch,moscot_sweep,epsilon_0p05_maxiter_200,,,0,0
branch,moscot_sweep,epsilon_0p05_maxiter_500,,,0,0
branch,moscot_sweep,epsilon_0p1_maxiter_100,,,0,0
branch,moscot_sweep,epsilon_0p1_maxiter_1000,,,0,0
branch,moscot_sweep,epsilon_0p1_maxiter_200,,,0,0
branch,moscot_sweep,epsilon_0p1_maxiter_500,,,0,0
branch,moscot_sweep,epsilon_0p5_maxiter_100,,,0,0
branch,moscot_sweep,epsilon_0p5_maxiter_1000,,,0,0
branch,moscot_sweep,epsilon_0p5_maxiter_200,,,0,0
branch,moscot_sweep,epsilon_0p5_maxiter_500,,,0,0
branch,scot,,,,0,0
branch,totalvi,,,,0,0
branch,uniport,,,,0,0
