model,sweep_label,clean_jvp_mean,clean_jvp_std,clean_jvp_n,oracle_jvp_mean,oracle_jvp_std,oracle_jvp_n,branch_jvp_mean,branch_jvp_std,branch_jvp_n
glue,,,,0,,,0,,,0
kot,,,,0,,,0,0.9334179610013962,0.005054472342972358,12
kot_anchor,,,,0,,,0,0.9334179610013962,0.005054472342972358,12
kot_nodyn,,,,0,,,0,-0.7830310463905334,0.01337423618574872,12
linear_ode,,,,0,,,0,,,0
moscot,,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_500,,,0,,,0,,,0
scot,,,,0,,,0,,,0
totalvi,,,,0,,,0,,,0
uniport,,,,0,,,0,,,0
