run,stage,run_group,model,sweep_label,seed,mean_foscttm,time_mae,time_spearman,jvp_rhs_cos,jvp_norm,rhs_norm,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,phi_init_gain,kot_rna_layer,kot_protein_layer,velocity_layer
run_branch_mean_20260701_190000,branch,linked_ode,kot,,6.0,0.020708,0.16100681822278462,0.9997565818733162,0.9421668648719788,0.23115193843841553,0.15188540518283844,0.4983294606208801,0.679652750492096,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,9.0,0.020333,0.15760315080987347,0.9997639874566258,0.9347226023674011,0.22553545236587524,0.15329940617084503,0.5018666982650757,0.6795322299003601,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,11.0,0.020337,0.15535270324345957,0.9997768611811727,0.9294694662094116,0.2279130071401596,0.15613031387329102,0.5057346224784851,0.6869481801986694,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,17.0,0.020982,0.16208029698365833,0.9997095199219126,0.9431024193763733,0.2280319184064865,0.15172456204891205,0.4770616590976715,0.6848668456077576,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,21.0,0.019409,0.14863019081506476,0.9997678620704964,0.9275273680686951,0.22578370571136475,0.15393617749214172,0.5039955377578735,0.6857794523239136,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,33.0,0.019213,0.14761786696660648,0.9997492347743583,0.9297983646392822,0.22683025896549225,0.1513233482837677,0.5204285383224487,0.6782891154289246,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,42.0,0.019621,0.1545182862334123,0.9997539265343023,0.9369999170303345,0.22298534214496613,0.14909487962722778,0.49299097061157227,0.6797407269477844,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,77.0,0.019508,0.15235135063034222,0.9997709396612721,0.9348503351211548,0.2223185896873474,0.15441346168518066,0.5171558856964111,0.6867836117744446,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,88.0,0.019591,0.15081542923475696,0.9997999979109571,0.9314415454864502,0.22483906149864197,0.15380819141864777,0.5156265497207642,0.6852418780326843,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,101.0,0.019243,0.14680893582658286,0.9998033540231459,0.933046281337738,0.224009171128273,0.15343981981277466,0.5290519595146179,0.6723383069038391,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,123.0,0.019145,0.14841830497964953,0.9997583571292754,0.9314159154891968,0.22203774750232697,0.15175464749336243,0.5069122910499573,0.675921618938446,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
