stage,model,sweep_label,mean,std,n,n_valid
clean,glue,,0.42357183333333337,0.006980062796199543,12,12
clean,kot,,0.032486,0.0012033422206504678,12,12
clean,kot_anchor,,0.032486,0.0012033422206504678,12,12
clean,kot_nodyn,,0.040772499999999996,0.0030902204479076674,12,12
clean,linear_ode,,0.446429,,1,1
clean,moscot,,0.480254,,1,1
clean,moscot_sweep,epsilon_0p01_maxiter_100,0.522506,,1,1
clean,moscot_sweep,epsilon_0p01_maxiter_1000,0.522506,,1,1
clean,moscot_sweep,epsilon_0p01_maxiter_200,0.522506,,1,1
clean,moscot_sweep,epsilon_0p01_maxiter_500,0.522506,,1,1
clean,moscot_sweep,epsilon_0p05_maxiter_100,0.548474,,1,1
clean,moscot_sweep,epsilon_0p05_maxiter_1000,0.548474,,1,1
clean,moscot_sweep,epsilon_0p05_maxiter_200,0.548474,,1,1
clean,moscot_sweep,epsilon_0p05_maxiter_500,0.548474,,1,1
clean,moscot_sweep,epsilon_0p1_maxiter_100,0.480252,,1,1
clean,moscot_sweep,epsilon_0p1_maxiter_1000,0.480252,,1,1
clean,moscot_sweep,epsilon_0p1_maxiter_200,0.480252,,1,1
clean,moscot_sweep,epsilon_0p1_maxiter_500,0.480252,,1,1
clean,moscot_sweep,epsilon_0p5_maxiter_100,0.487541,,1,1
clean,moscot_sweep,epsilon_0p5_maxiter_1000,0.487541,,1,1
clean,moscot_sweep,epsilon_0p5_maxiter_200,0.487541,,1,1
clean,moscot_sweep,epsilon_0p5_maxiter_500,0.487541,,1,1
clean,scot,,0.515032,,1,1
clean,totalvi,,0.0,0.0,12,12
clean,uniport,,0.4988455,0.005889941786639319,12,12
