model,sweep_label,clean_foscttm_mean,clean_foscttm_std,clean_foscttm_n,oracle_foscttm_mean,oracle_foscttm_std,oracle_foscttm_n,branch_foscttm_mean,branch_foscttm_std,branch_foscttm_n
glue,,0.42357183333333337,0.006980062796199543,12,,,0,,,0
kot,,0.032486,0.0012033422206504678,12,,,0,,,0
kot_anchor,,0.032486,0.0012033422206504678,12,,,0,,,0
kot_nodyn,,0.040772499999999996,0.0030902204479076674,12,,,0,,,0
linear_ode,,0.446429,,1,,,0,,,0
moscot,,0.480254,,1,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_100,0.522506,,1,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_1000,0.522506,,1,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_200,0.522506,,1,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_500,0.522506,,1,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_100,0.548474,,1,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_1000,0.548474,,1,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_200,0.548474,,1,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_500,0.548474,,1,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_100,0.480252,,1,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_1000,0.480252,,1,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_200,0.480252,,1,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_500,0.480252,,1,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_100,0.487541,,1,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_1000,0.487541,,1,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_200,0.487541,,1,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_500,0.487541,,1,,,0,,,0
scot,,0.515032,,1,,,0,,,0
totalvi,,0.0,0.0,12,,,0,,,0
uniport,,0.4988455,0.005889941786639319,12,,,0,,,0
