stage,model,sweep_label,mean,std,n,n_valid
clean,glue,,,,0,0
clean,kot,,0.6182312220335007,0.014844165397948224,12,12
clean,kot_anchor,,0.6182312220335007,0.014844165397948224,12,12
clean,kot_nodyn,,-0.8266530384620031,0.007640955958772639,12,12
clean,linear_ode,,,,0,0
clean,moscot,,,,0,0
clean,moscot_sweep,epsilon_0p01_maxiter_100,,,0,0
clean,moscot_sweep,epsilon_0p01_maxiter_1000,,,0,0
clean,moscot_sweep,epsilon_0p01_maxiter_200,,,0,0
clean,moscot_sweep,epsilon_0p01_maxiter_500,,,0,0
clean,moscot_sweep,epsilon_0p05_maxiter_100,,,0,0
clean,moscot_sweep,epsilon_0p05_maxiter_1000,,,0,0
clean,moscot_sweep,epsilon_0p05_maxiter_200,,,0,0
clean,moscot_sweep,epsilon_0p05_maxiter_500,,,0,0
clean,moscot_sweep,epsilon_0p1_maxiter_100,,,0,0
clean,moscot_sweep,epsilon_0p1_maxiter_1000,,,0,0
clean,moscot_sweep,epsilon_0p1_maxiter_200,,,0,0
clean,moscot_sweep,epsilon_0p1_maxiter_500,,,0,0
clean,moscot_sweep,epsilon_0p5_maxiter_100,,,0,0
clean,moscot_sweep,epsilon_0p5_maxiter_1000,,,0,0
clean,moscot_sweep,epsilon_0p5_maxiter_200,,,0,0
clean,moscot_sweep,epsilon_0p5_maxiter_500,,,0,0
clean,scot,,,,0,0
clean,totalvi,,,,0,0
clean,uniport,,,,0,0
