model,sweep_label,clean_jvp_mean,clean_jvp_std,clean_jvp_n,oracle_jvp_mean,oracle_jvp_std,oracle_jvp_n,branch_jvp_mean,branch_jvp_std,branch_jvp_n
glue,,,,0,,,0,,,0
kot,,0.6182312220335007,0.014844165397948224,12,,,0,,,0
kot_anchor,,0.6182312220335007,0.014844165397948224,12,,,0,,,0
kot_nodyn,,-0.8266530384620031,0.007640955958772639,12,,,0,,,0
linear_ode,,,,0,,,0,,,0
moscot,,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_500,,,0,,,0,,,0
scot,,,,0,,,0,,,0
totalvi,,,,0,,,0,,,0
uniport,,,,0,,,0,,,0
