run,stage,run_group,model,sweep_label,seed,mean_foscttm,time_mae,time_spearman,jvp_rhs_cos,jvp_norm,rhs_norm,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,phi_init_gain,kot_rna_layer,kot_protein_layer,velocity_layer
run_20260701_141322,clean,linked_ode,glue,,6.0,0.426591,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,9.0,0.42079,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,11.0,0.41943,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,17.0,0.412803,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,21.0,0.427955,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,33.0,0.414809,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,42.0,0.441271,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,77.0,0.421419,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,88.0,0.424721,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,101.0,0.422121,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,123.0,0.427724,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,glue,,2026.0,0.423228,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,linear_ode,,,0.446429,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,moscot,,,0.480254,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,scot,,,0.515032,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,uniport,,6.0,0.503873,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,uniport,,9.0,0.491646,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,uniport,,11.0,0.492939,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,uniport,,17.0,0.503359,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,uniport,,21.0,0.492426,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,uniport,,33.0,0.505631,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_141322,clean,linked_ode,uniport,,42.0,0.49124,,,,,,,,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
