stage,model,sweep_label,mean,std,n,n_valid
oracle,kot,,0.037131583333333336,0.0014021181273543087,12,12
oracle,kot_anchor,,0.037131583333333336,0.0014021181273543087,12,12
oracle,kot_nodyn,,0.03648141666666666,0.0034586268580255315,12,12
oracle,kot_oracle,,0.01984725,0.0007409490676378057,12,12
oracle,kot_oracle_learnalpha,,0.01942358333333333,0.0011408616961412201,12,12
oracle,kot_oracle_learnalpha_kappa,,0.053263000000000005,0.003633779529177116,12,12
oracle,linear_ode,,0.443912,,1,1
oracle,moscot,,0.544182,,1,1
oracle,moscot_sweep,epsilon_0p01_maxiter_100,0.525319,,1,1
oracle,moscot_sweep,epsilon_0p01_maxiter_1000,0.525319,,1,1
oracle,moscot_sweep,epsilon_0p01_maxiter_200,0.525319,,1,1
oracle,moscot_sweep,epsilon_0p01_maxiter_500,0.525319,,1,1
oracle,moscot_sweep,epsilon_0p05_maxiter_100,0.531904,,1,1
oracle,moscot_sweep,epsilon_0p05_maxiter_1000,0.531904,,1,1
oracle,moscot_sweep,epsilon_0p05_maxiter_200,0.531904,,1,1
oracle,moscot_sweep,epsilon_0p05_maxiter_500,0.531904,,1,1
oracle,moscot_sweep,epsilon_0p1_maxiter_100,0.544182,,1,1
oracle,moscot_sweep,epsilon_0p1_maxiter_1000,0.544182,,1,1
oracle,moscot_sweep,epsilon_0p1_maxiter_200,0.544182,,1,1
oracle,moscot_sweep,epsilon_0p1_maxiter_500,0.544182,,1,1
oracle,moscot_sweep,epsilon_0p5_maxiter_100,0.585366,,1,1
oracle,moscot_sweep,epsilon_0p5_maxiter_1000,0.585366,,1,1
oracle,moscot_sweep,epsilon_0p5_maxiter_200,0.585366,,1,1
oracle,moscot_sweep,epsilon_0p5_maxiter_500,0.585366,,1,1
oracle,scot,,0.173877,,1,1
oracle,uniport,,0.47988733333333333,0.1166922098966146,12,12
