model,sweep_label,clean_foscttm_mean,clean_foscttm_std,clean_foscttm_n,oracle_foscttm_mean,oracle_foscttm_std,oracle_foscttm_n,branch_foscttm_mean,branch_foscttm_std,branch_foscttm_n
kot,,,,0,0.037131583333333336,0.0014021181273543087,12,,,0
kot_anchor,,,,0,0.037131583333333336,0.0014021181273543087,12,,,0
kot_nodyn,,,,0,0.03648141666666666,0.0034586268580255315,12,,,0
kot_oracle,,,,0,0.01984725,0.0007409490676378057,12,,,0
kot_oracle_learnalpha,,,,0,0.01942358333333333,0.0011408616961412201,12,,,0
kot_oracle_learnalpha_kappa,,,,0,0.053263000000000005,0.003633779529177116,12,,,0
linear_ode,,,,0,0.443912,,1,,,0
moscot,,,,0,0.544182,,1,,,0
moscot_sweep,epsilon_0p01_maxiter_100,,,0,0.525319,,1,,,0
moscot_sweep,epsilon_0p01_maxiter_1000,,,0,0.525319,,1,,,0
moscot_sweep,epsilon_0p01_maxiter_200,,,0,0.525319,,1,,,0
moscot_sweep,epsilon_0p01_maxiter_500,,,0,0.525319,,1,,,0
moscot_sweep,epsilon_0p05_maxiter_100,,,0,0.531904,,1,,,0
moscot_sweep,epsilon_0p05_maxiter_1000,,,0,0.531904,,1,,,0
moscot_sweep,epsilon_0p05_maxiter_200,,,0,0.531904,,1,,,0
moscot_sweep,epsilon_0p05_maxiter_500,,,0,0.531904,,1,,,0
moscot_sweep,epsilon_0p1_maxiter_100,,,0,0.544182,,1,,,0
moscot_sweep,epsilon_0p1_maxiter_1000,,,0,0.544182,,1,,,0
moscot_sweep,epsilon_0p1_maxiter_200,,,0,0.544182,,1,,,0
moscot_sweep,epsilon_0p1_maxiter_500,,,0,0.544182,,1,,,0
moscot_sweep,epsilon_0p5_maxiter_100,,,0,0.585366,,1,,,0
moscot_sweep,epsilon_0p5_maxiter_1000,,,0,0.585366,,1,,,0
moscot_sweep,epsilon_0p5_maxiter_200,,,0,0.585366,,1,,,0
moscot_sweep,epsilon_0p5_maxiter_500,,,0,0.585366,,1,,,0
scot,,,,0,0.173877,,1,,,0
uniport,,,,0,0.47988733333333333,0.1166922098966146,12,,,0
