stage,model,sweep_label,mean,std,n,n_valid
oracle,kot,,0.94538314640522,0.004389129656893109,12,12
oracle,kot_anchor,,0.94538314640522,0.004389129656893109,12,12
oracle,kot_nodyn,,-0.8354172905286154,0.012753037065677942,12,12
oracle,kot_oracle,,0.8535001327594122,0.005811525737398202,12,12
oracle,kot_oracle_learnalpha,,0.7646104246377945,0.028477685162818785,12,12
oracle,kot_oracle_learnalpha_kappa,,0.9698565105597178,0.0029031439526008866,12,12
oracle,linear_ode,,,,0,0
oracle,moscot,,,,0,0
oracle,moscot_sweep,epsilon_0p01_maxiter_100,,,0,0
oracle,moscot_sweep,epsilon_0p01_maxiter_1000,,,0,0
oracle,moscot_sweep,epsilon_0p01_maxiter_200,,,0,0
oracle,moscot_sweep,epsilon_0p01_maxiter_500,,,0,0
oracle,moscot_sweep,epsilon_0p05_maxiter_100,,,0,0
oracle,moscot_sweep,epsilon_0p05_maxiter_1000,,,0,0
oracle,moscot_sweep,epsilon_0p05_maxiter_200,,,0,0
oracle,moscot_sweep,epsilon_0p05_maxiter_500,,,0,0
oracle,moscot_sweep,epsilon_0p1_maxiter_100,,,0,0
oracle,moscot_sweep,epsilon_0p1_maxiter_1000,,,0,0
oracle,moscot_sweep,epsilon_0p1_maxiter_200,,,0,0
oracle,moscot_sweep,epsilon_0p1_maxiter_500,,,0,0
oracle,moscot_sweep,epsilon_0p5_maxiter_100,,,0,0
oracle,moscot_sweep,epsilon_0p5_maxiter_1000,,,0,0
oracle,moscot_sweep,epsilon_0p5_maxiter_200,,,0,0
oracle,moscot_sweep,epsilon_0p5_maxiter_500,,,0,0
oracle,scot,,,,0,0
oracle,uniport,,,,0,0
