model,sweep_label,clean_jvp_mean,clean_jvp_std,clean_jvp_n,oracle_jvp_mean,oracle_jvp_std,oracle_jvp_n,branch_jvp_mean,branch_jvp_std,branch_jvp_n
kot,,,,0,0.94538314640522,0.004389129656893109,12,,,0
kot_anchor,,,,0,0.94538314640522,0.004389129656893109,12,,,0
kot_nodyn,,,,0,-0.8354172905286154,0.012753037065677942,12,,,0
kot_oracle,,,,0,0.8535001327594122,0.005811525737398202,12,,,0
kot_oracle_learnalpha,,,,0,0.7646104246377945,0.028477685162818785,12,,,0
kot_oracle_learnalpha_kappa,,,,0,0.9698565105597178,0.0029031439526008866,12,,,0
linear_ode,,,,0,,,0,,,0
moscot,,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p01_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p05_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p1_maxiter_500,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_100,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_1000,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_200,,,0,,,0,,,0
moscot_sweep,epsilon_0p5_maxiter_500,,,0,,,0,,,0
scot,,,,0,,,0,,,0
uniport,,,,0,,,0,,,0
