protein_name,hgnc_id,gene_symbol,uniprot_id,cell_type,half_life_hours,beta_per_hour,quality_score_or_R2,source,anchor_weight
CD40,HGNC:11919,CD40,nan,Bcells,46.3895,0.0149419,0.9955,Mathieson2018_NatCommun_SuppData2,0.9955
CD8,HGNC:1706,CD8A,nan,NK,69.186,0.0100186,0.985,Mathieson2018_NatCommun_SuppData2,0.985
CD56,HGNC:7656,NCAM1,nan,NK,102.2135,0.00678137,0.9550000000000001,Mathieson2018_NatCommun_SuppData2,0.9550000000000001
CD19,HGNC:1633,CD19,nan,Bcells,80.703,0.00858887,0.9895,Mathieson2018_NatCommun_SuppData2,0.9895
CD105,HGNC:3349,ENG,nan,Monocytes,17.714,0.03912991,0.9145000000000001,Mathieson2018_NatCommun_SuppData2,0.9145000000000001
CD14,HGNC:1628,CD14,nan,Bcells,30.368,0.02282492,0.926,Mathieson2018_NatCommun_SuppData2,0.926
CD14,HGNC:1628,CD14,nan,Monocytes,35.145,0.0197225,0.9904999999999999,Mathieson2018_NatCommun_SuppData2,0.9904999999999999
CD16,HGNC:3619,FCGR3A,nan,NK,110.216,0.00628899,0.993,Mathieson2018_NatCommun_SuppData2,0.993
CD20,HGNC:7315,MS4A1,nan,Bcells,70.9355,0.00977151,0.9955,Mathieson2018_NatCommun_SuppData2,0.9955
IgM,nan,IGHM,nan,Bcells,25.45,0.02723565,0.915,Mathieson2018_NatCommun_SuppData2,0.915
CD161,HGNC:6373,KLRB1,nan,NK,53.685,0.01291138,0.984,Mathieson2018_NatCommun_SuppData2,0.984
CX3CR1,HGNC:2558,CX3CR1,nan,NK,27.623,0.02509312,0.982,Mathieson2018_NatCommun_SuppData2,0.982
CD79b,HGNC:1699,CD79B,nan,Bcells,38.172,0.01815852,0.919,Mathieson2018_NatCommun_SuppData2,0.919
CD268,HGNC:17755,TNFRSF13C,nan,Bcells,76.117,0.00910634,0.991,Mathieson2018_NatCommun_SuppData2,0.991
CD122,HGNC:6009,IL2RB,nan,NK,9.874,0.07019923,0.855,Mathieson2018_NatCommun_SuppData2,0.855
FceRIa,HGNC:3609,FCER1A,nan,NK,572.366,0.00121102,0.98,Mathieson2018_NatCommun_SuppData2,0.98
CD163,HGNC:1631,CD163,nan,Monocytes,15.4535,0.04485373,0.9175,Mathieson2018_NatCommun_SuppData2,0.9175
CD29,HGNC:6153,ITGB1,nan,Bcells,41.976,0.01651294,0.959,Mathieson2018_NatCommun_SuppData2,0.959
CD29,HGNC:6153,ITGB1,nan,NK,57.9855,0.0119538,0.9875,Mathieson2018_NatCommun_SuppData2,0.9875
CD29,HGNC:6153,ITGB1,nan,Monocytes,51.3125,0.01350835,0.9510000000000001,Mathieson2018_NatCommun_SuppData2,0.9510000000000001
IgD,nan,IGHD,nan,Bcells,59.103,0.01172778,0.9165,Mathieson2018_NatCommun_SuppData2,0.9165
CD38,HGNC:1667,CD38,nan,Monocytes,445.994,0.00155416,0.931,Mathieson2018_NatCommun_SuppData2,0.931
CD22,HGNC:1643,CD22,nan,Bcells,165.5095,0.00418796,0.996,Mathieson2018_NatCommun_SuppData2,0.996
CD71,HGNC:11763,TFRC,nan,Bcells,16.328,0.04245144,0.996,Mathieson2018_NatCommun_SuppData2,0.996
CD71,HGNC:11763,TFRC,nan,Monocytes,14.2015,0.04880803,0.9145,Mathieson2018_NatCommun_SuppData2,0.9145
CD304,HGNC:8004,NRP1,nan,Monocytes,12.011,0.05770936,0.925,Mathieson2018_NatCommun_SuppData2,0.925
CD36,HGNC:1663,CD36,nan,Monocytes,55.2135,0.01255394,0.98,Mathieson2018_NatCommun_SuppData2,0.98
CD9,HGNC:1709,CD9,nan,Bcells,168.162,0.0041219,0.9684999999999999,Mathieson2018_NatCommun_SuppData2,0.9684999999999999
CD9,HGNC:1709,CD9,nan,NK,243.736,0.00284384,0.9615,Mathieson2018_NatCommun_SuppData2,0.9615
CD9,HGNC:1709,CD9,nan,Monocytes,33.236,0.02085531,0.983,Mathieson2018_NatCommun_SuppData2,0.983
CD82,HGNC:6210,CD82,nan,Bcells,39.867,0.01738649,0.9844999999999999,Mathieson2018_NatCommun_SuppData2,0.9844999999999999
CD82,HGNC:6210,CD82,nan,Monocytes,70.031,0.00989772,0.878,Mathieson2018_NatCommun_SuppData2,0.878
CD88,HGNC:1338,C5AR1,nan,NK,135.6975,0.00510803,0.9815,Mathieson2018_NatCommun_SuppData2,0.9815
CD88,HGNC:1338,C5AR1,nan,Monocytes,32.515,0.02131777,0.9755,Mathieson2018_NatCommun_SuppData2,0.9755
