protein_name,hgnc_id,gene_symbol,uniprot_id,cell_type,half_life_hours,beta_per_hour,quality_score_or_R2,source,anchor_weight
CD47,HGNC:1682,CD47,nan,Bcells,130.368,0.00531685,0.989,Mathieson2018_NatCommun_SuppData2,0.989
CD47,HGNC:1682,CD47,nan,Monocytes,173.2955,0.0039998,0.967,Mathieson2018_NatCommun_SuppData2,0.967
CD47,HGNC:1682,CD47,nan,NK,408.2385,0.0016979,0.998,Mathieson2018_NatCommun_SuppData2,0.998
CD47,HGNC:1682,CD47,nan,Tcells,237.2,0.00292221,0.971,Savitski2018_Cell_Tcells,0.971
CD48,HGNC:1683,CD48,nan,Bcells,147.631,0.00469513,0.99,Mathieson2018_NatCommun_SuppData2,0.99
CD48,HGNC:1683,CD48,nan,Monocytes,67.58,0.01025669,0.9815,Mathieson2018_NatCommun_SuppData2,0.9815
CD48,HGNC:1683,CD48,nan,NK,322.175,0.00215146,0.878,Mathieson2018_NatCommun_SuppData2,0.878
CD48,HGNC:1683,CD48,nan,Tcells,915.266,0.00075732,0.173,Savitski2018_Cell_Tcells,0.173
CD40,HGNC:11919,CD40,nan,Bcells,46.3895,0.0149419,0.9955,Mathieson2018_NatCommun_SuppData2,0.9955
CD3,HGNC:1674,CD3E,nan,Tcells,56.8313,0.01219657,0.991,Savitski2018_Cell_Tcells,0.991
CD8,HGNC:1706,CD8A,nan,Tcells,53.3647,0.01298888,0.994,Savitski2018_Cell_Tcells,0.994
CD56,HGNC:7656,NCAM1,nan,NK,102.2135,0.00678137,0.9550000000000001,Mathieson2018_NatCommun_SuppData2,0.9550000000000001
CD19,HGNC:1633,CD19,nan,Bcells,80.703,0.00858887,0.9895,Mathieson2018_NatCommun_SuppData2,0.9895
CD33,HGNC:1659,CD33,nan,Monocytes,93.402,0.00742112,0.9635,Mathieson2018_NatCommun_SuppData2,0.9635
CD11c,HGNC:6152,ITGAX,nan,Monocytes,44.0015,0.01575281,0.987,Mathieson2018_NatCommun_SuppData2,0.987
CD45RA,HGNC:9666,PTPRC,nan,Bcells,170.0195,0.00407687,0.997,Mathieson2018_NatCommun_SuppData2,0.997
CD45RA,HGNC:9666,PTPRC,nan,Monocytes,87.6135,0.00791142,0.991,Mathieson2018_NatCommun_SuppData2,0.991
CD45RA,HGNC:9666,PTPRC,nan,NK,138.5135,0.00500419,0.998,Mathieson2018_NatCommun_SuppData2,0.998
CD45RA,HGNC:9666,PTPRC,nan,Tcells,138.487,0.00500514,1.0,Savitski2018_Cell_Tcells,1.0
CD7,HGNC:1695,CD7,nan,Tcells,92.6867,0.00747839,0.932,Savitski2018_Cell_Tcells,0.932
CD105,HGNC:3349,ENG,nan,Monocytes,17.714,0.03912991,0.9145000000000001,Mathieson2018_NatCommun_SuppData2,0.9145000000000001
CD49f,HGNC:6142,ITGA6,nan,Monocytes,94.889,0.00730482,0.976,Mathieson2018_NatCommun_SuppData2,0.976
