protein_name,hgnc_id,gene_symbol,uniprot_id,cell_type,half_life_hours,beta_per_hour,quality_score_or_R2,source,anchor_weight
CD3_TotalSeqB,HGNC:1674,CD3E,nan,NK,39.1265,0.01771554,0.9875,Mathieson2018_NatCommun_SuppData2,0.9875
CD3_TotalSeqB,HGNC:1674,CD3E,nan,Tcells,56.8313,0.01219657,0.991,Savitski2018_Cell_Tcells,0.991
CD4_TotalSeqB,HGNC:1678,CD4,nan,Monocytes,12.598,0.05502041,0.895,Mathieson2018_NatCommun_SuppData2,0.895
CD4_TotalSeqB,HGNC:1678,CD4,nan,Tcells,52.3823,0.01323246,0.946,Savitski2018_Cell_Tcells,0.946
CD8a_TotalSeqB,HGNC:1706,CD8A,nan,NK,69.186,0.0100186,0.985,Mathieson2018_NatCommun_SuppData2,0.985
CD8a_TotalSeqB,HGNC:1706,CD8A,nan,Tcells,53.3647,0.01298888,0.994,Savitski2018_Cell_Tcells,0.994
CD11b_TotalSeqB,HGNC:6149,ITGAM,nan,Bcells,480.992,0.00144108,0.935,Mathieson2018_NatCommun_SuppData2,0.935
CD11b_TotalSeqB,HGNC:6149,ITGAM,nan,NK,1132.9285,0.00061182,0.987,Mathieson2018_NatCommun_SuppData2,0.987
CD11b_TotalSeqB,HGNC:6149,ITGAM,nan,Monocytes,229.7335,0.00301718,0.992,Mathieson2018_NatCommun_SuppData2,0.992
CD11b_TotalSeqB,HGNC:6149,ITGAM,nan,Tcells,706.764,0.00098073,0.944,Savitski2018_Cell_Tcells,0.944
CD14_TotalSeqB,HGNC:1628,CD14,nan,Bcells,30.368,0.02282492,0.926,Mathieson2018_NatCommun_SuppData2,0.926
CD14_TotalSeqB,HGNC:1628,CD14,nan,Monocytes,35.145,0.0197225,0.9904999999999999,Mathieson2018_NatCommun_SuppData2,0.9904999999999999
CD15_TotalSeqB,HGNC:4015,FUT4,nan,Monocytes,64.289,0.01078174,0.935,Mathieson2018_NatCommun_SuppData2,0.935
CD16_TotalSeqB,HGNC:3619,FCGR3A,nan,NK,110.216,0.00628899,0.993,Mathieson2018_NatCommun_SuppData2,0.993
CD19_TotalSeqB,HGNC:1633,CD19,nan,Bcells,80.703,0.00858887,0.9895,Mathieson2018_NatCommun_SuppData2,0.9895
CD20_TotalSeqB,HGNC:7315,MS4A1,nan,Bcells,70.9355,0.00977151,0.9955,Mathieson2018_NatCommun_SuppData2,0.9955
CD27_TotalSeqB,HGNC:11922,CD27,nan,Tcells,123.6003,0.00560797,0.219,Savitski2018_Cell_Tcells,0.219
CD45RA_TotalSeqB,HGNC:9666,PTPRC,nan,Bcells,170.0195,0.00407687,0.997,Mathieson2018_NatCommun_SuppData2,0.997
CD45RA_TotalSeqB,HGNC:9666,PTPRC,nan,NK,138.5135,0.00500419,0.998,Mathieson2018_NatCommun_SuppData2,0.998
CD45RA_TotalSeqB,HGNC:9666,PTPRC,nan,Monocytes,87.6135,0.00791142,0.991,Mathieson2018_NatCommun_SuppData2,0.991
CD45RA_TotalSeqB,HGNC:9666,PTPRC,nan,Tcells,138.487,0.00500514,1.0,Savitski2018_Cell_Tcells,1.0
CD45RO_TotalSeqB,HGNC:9666,PTPRC,nan,Bcells,170.0195,0.00407687,0.997,Mathieson2018_NatCommun_SuppData2,0.997
CD45RO_TotalSeqB,HGNC:9666,PTPRC,nan,NK,138.5135,0.00500419,0.998,Mathieson2018_NatCommun_SuppData2,0.998
CD45RO_TotalSeqB,HGNC:9666,PTPRC,nan,Monocytes,87.6135,0.00791142,0.991,Mathieson2018_NatCommun_SuppData2,0.991
CD45RO_TotalSeqB,HGNC:9666,PTPRC,nan,Tcells,138.487,0.00500514,1.0,Savitski2018_Cell_Tcells,1.0
CD56_TotalSeqB,HGNC:7656,NCAM1,nan,NK,102.2135,0.00678137,0.9550000000000001,Mathieson2018_NatCommun_SuppData2,0.9550000000000001
CD62L_TotalSeqB,HGNC:10720,SELL,nan,Bcells,18.581,0.03730408,0.995,Mathieson2018_NatCommun_SuppData2,0.995
CD62L_TotalSeqB,HGNC:10720,SELL,nan,NK,62.386,0.01111062,0.996,Mathieson2018_NatCommun_SuppData2,0.996
CD62L_TotalSeqB,HGNC:10720,SELL,nan,Monocytes,30.041,0.02307337,0.994,Mathieson2018_NatCommun_SuppData2,0.994
CD62L_TotalSeqB,HGNC:10720,SELL,nan,Tcells,37.5277,0.0184703,0.993,Savitski2018_Cell_Tcells,0.993
CD197_TotalSeqB,HGNC:1608,CCR7,nan,Bcells,29.528,0.02347423,0.97,Mathieson2018_NatCommun_SuppData2,0.97
CD197_TotalSeqB,HGNC:1608,CCR7,nan,Tcells,45.8013,0.01513378,0.772,Savitski2018_Cell_Tcells,0.772
