dataset,adt_name,hgnc_id,gene_symbol,uniprot_id,mapping_type,present_in_rna,use_for_alignment,use_for_kinetics,excluded_because
BMMC CITE-seq,CD86,HGNC:1705,CD86,,one_to_one,True,True,True,
BMMC CITE-seq,CD274,HGNC:17635,CD274,,one_to_one,False,True,True,
BMMC CITE-seq,CD270,HGNC:11912,TNFRSF14,,one_to_one,True,True,True,
BMMC CITE-seq,CD155,HGNC:9705,PVR,,one_to_one,False,True,True,
BMMC CITE-seq,CD112,HGNC:9707,NECTIN2,,one_to_one,True,True,True,
BMMC CITE-seq,CD47,HGNC:1682,CD47,,one_to_one,True,True,True,
BMMC CITE-seq,CD48,HGNC:1683,CD48,,one_to_one,True,True,True,
BMMC CITE-seq,CD40,HGNC:11919,CD40,,one_to_one,True,True,True,
BMMC CITE-seq,CD154,HGNC:11935,CD40LG,,one_to_one,True,True,True,
BMMC CITE-seq,CD52,HGNC:1804,CD52,,one_to_one,True,True,True,
BMMC CITE-seq,CD3,HGNC:1674,CD3E,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
BMMC CITE-seq,CD8,HGNC:1706,CD8A,,one_to_one,True,True,True,
BMMC CITE-seq,CD56,HGNC:7656,NCAM1,,one_to_one,True,True,True,
BMMC CITE-seq,CD19,HGNC:1633,CD19,,one_to_one,True,True,True,
BMMC CITE-seq,CD33,HGNC:1659,CD33,,one_to_one,True,True,True,
BMMC CITE-seq,CD11c,HGNC:6152,ITGAX,,one_to_one,True,True,True,
BMMC CITE-seq,HLA-A-B-C,,,,unmapped,,True,False,no single HGNC gene (complex / not found)
BMMC CITE-seq,CD45RA,HGNC:9666,PTPRC,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
BMMC CITE-seq,CD123,HGNC:6012,IL3RA,,one_to_one,True,True,True,
BMMC CITE-seq,CD7,HGNC:1695,CD7,,one_to_one,False,True,True,
BMMC CITE-seq,CD105,HGNC:3349,ENG,,one_to_one,True,True,True,
BMMC CITE-seq,CD49f,HGNC:6142,ITGA6,,one_to_one,True,True,True,
BMMC CITE-seq,CD194,HGNC:1605,CCR4,,one_to_one,True,True,True,
BMMC CITE-seq,CD4,HGNC:1678,CD4,,one_to_one,True,True,True,
BMMC CITE-seq,CD44,HGNC:1681,CD44,,one_to_one,True,True,True,
BMMC CITE-seq,CD14,HGNC:1628,CD14,,one_to_one,True,True,True,
BMMC CITE-seq,CD16,HGNC:3619,FCGR3A,,one_to_one,True,True,True,
BMMC CITE-seq,CD25,HGNC:6008,IL2RA,,one_to_one,True,True,True,
BMMC CITE-seq,CD45RO,HGNC:9666,PTPRC,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
BMMC CITE-seq,CD279,HGNC:8760,PDCD1,,one_to_one,False,True,True,
BMMC CITE-seq,TIGIT,HGNC:26838,TIGIT,,one_to_one,True,True,True,
BMMC CITE-seq,CD20,HGNC:7315,MS4A1,,one_to_one,True,True,True,
BMMC CITE-seq,CD335,HGNC:6731,NCR1,,one_to_one,True,True,True,
BMMC CITE-seq,CD31,HGNC:8823,PECAM1,,one_to_one,True,True,True,
BMMC CITE-seq,Podoplanin,,,,unmapped,,True,False,no single HGNC gene (complex / not found)
BMMC CITE-seq,CD146,HGNC:6934,MCAM,,one_to_one,False,True,True,
BMMC CITE-seq,IgM,,IGHM,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
BMMC CITE-seq,CD5,HGNC:1685,CD5,,one_to_one,True,True,True,
BMMC CITE-seq,CD195,HGNC:1606,CCR5,,one_to_one,False,True,True,
BMMC CITE-seq,CD32,HGNC:3616,FCGR2A,,one_to_one,True,True,True,
BMMC CITE-seq,CD196,HGNC:1607,CCR6,,one_to_one,True,True,True,
